name,position,industry,company_size,finance_stage,location,experience,education,salary
上海微创软件股份有限公司北京分公司,Python工程师-赴码隆科技,,2000人以上,不需要融资,盐田区,3-5年,本科,10k-20k
优维科技（深圳）有限公司,Python开发工程师（驻场）,,50-150人,B轮,南山区,1-3年,本科,13k-15k
深圳市易博天下科技有限公司,Python开发工程师,,150-500人,上市公司,南山区,1-3年,大专,13k-25k
深圳市彬讯科技有限公司,python开发工程师,大数据,2000人以上,C轮,南山区,1-3年,本科,13k-20k
智言科技(深圳)有限公司,高级Python开发工程师,,50-150人,A轮,南山区,5-10年,本科,15k-25k
妙印云科技（深圳）有限公司,开发工程师/Python,电商移动互联网,15-50人,不需要融资,南山区,3-5年,本科,14k-28k
上海海万信息科技股份有限公司,招Python后台开发,,500-2000人,不需要融资,福田区,3-5年,大专,10k-20k
深圳呗佬智能有限公司,python开发工程师,,15-50人,A轮,南山区,3-5年,本科,15k-30k
深圳市瑞驰信息技术有限公司,python开发工程师,,50-150人,A轮,南山区,1-3年,大专,6k-12k
共享科技创新服务（深圳）有限公司,Python开发工程师助理,,50-150人,未融资,宝安区,不限,不限,3k-6k
深圳晶泰科技有限公司,高级Python开发工程师,云计算GO云计算,50-150人,C轮,福田区,1-3年,本科,15k-23k
深圳市金证科技股份有限公司,Python开发,,2000人以上,上市公司,福田区,1-3年,本科,9k-16k
深圳市前海富甲金融信息有限公司,Python开发工程师,,50-150人,A轮,南山区,3-5年,本科,15k-25k
深圳市翼腾信息科技有限公司,Python数据工程师,电商大数据爬虫数据库分布式,少于15人,天使轮,宝安区,1-3年,本科,10k-18k
联想（北京）有限公司,python开发工程师,,2000人以上,上市公司,南山区,不限,本科,20K-27K
深圳丝路天地电子商务有限公司,Python开发工程师,大数据数据挖掘,50-150人,A轮,南山区,3-5年,本科,15k-30k
深圳市猎芯科技有限公司,Python工程师,,150-500人,B轮,龙岗区,1-3年,大专,10k-20k
厦门笨鸟电子商务有限公司,python工程师,,150-500人,B轮,南山区,1-3年,本科,20k-40k
深圳市安之天信息技术有限公司,Python开发工程师,信息安全大数据,50-150人,未融资,宝安区,1-3年,本科,8k-15k
北京通力互联技术服务有限公司,python开发,,2000人以上,不需要融资,南山区,1-3年,大专,8k-11k
岩心科技（深圳）有限公司,Python后台开发/数据平台/Senior,大数据后端Java,500-2000人,C轮,南山区,3-5年,本科,15k-30k
深圳库尚信息技术有限公司,python开发工程师,电商JavaPHP,2000人以上,B轮,南山区,1-3年,大专,12k-24k
深圳市优弈科技有限公司,高级python开发工程师,大数据互联网金融后端PHP区块链,15-50人,天使轮,南山区,5-10年,本科,15k-30k
深圳市云间网络科技有限公司,Python开发工程师,,15-50人,不需要融资,南山区,3-5年,大专,15k-20k
深圳迅策科技有限公司,Python 开发工程师,工具软件金融后端,50-150人,A轮,南山区,3-5年,本科,15k-30k
深圳云天励飞技术有限公司,Python后端工程师A,,500-2000人,A轮,福田区,1-3年,本科,15k-30k
行云智能（深圳）技术有限公司,Python开发工程师,,15-50人,天使轮,南山区,1-3年,本科,10k-20k
深圳回收宝科技有限公司,Python开发工程师,,500-2000人,C轮,南山区,3-5年,本科,15k-22k
深圳格隆汇信息科技有限公司,python工程开发师,大数据金融软件开发Java,50-150人,A轮,南山区,1-3年,本科,15k-30k
深圳市玺望网络科技有限公司,python开发工程师,,50-150人,不需要融资,罗湖区,1-3年,本科,10k-15k
风变科技（深圳）有限公司,Python工程师（运维方向）,,50-150人,A轮,南山区,1-3年,本科,10k-20k
平安科技（深圳）有限公司,Python后台开发工程师（深圳）,,2000人以上,不需要融资,福田区,不限,本科,10k-15k
深圳市沃享科技有限公司,Python开发工程师,移动互联网工具软件后端ERP数据挖掘移动开发,15-50人,A轮,南山区,1-3年,大专,10k-20k
浪潮通用软件有限公司深圳研发中心,python开发工程师,云计算Java云计算,2000人以上,上市公司,南山区,1-3年,本科,11k-18k
深圳市微课科技有限公司,Python工程师,移动互联网JavaPHP,50-150人,A轮,南山区,1-3年,本科,15k-25k
北京通力互联技术服务有限公司,Python高级开发/python开发,,2000人以上,不需要融资,龙岗区,3-5年,大专,13k-25k
深圳市新悦联众科技有限公司,Python工程师,,50-150人,不需要融资,南山区,1-3年,本科,12k-15k
